p,alg,metric,mean,ci95
-25,random,Qd_mean,5.968404351,0.3247383256
-25,norm,Qd_mean,6.39017613,0.2729850639
-25,ga_ub,Qd_mean,5.584874009,0.3006067513
-22.14285714,proposed,Qd_mean,0.8102129844,0.1172743384
-22.14285714,random,Qd_mean,5.145120438,0.35742933
-22.14285714,norm,Qd_mean,5.898719893,0.31515814
-22.14285714,ga_ub,Qd_mean,4.549622318,0.3451672072
-19.28571429,proposed,Qd_mean,0.5931454193,0.09374865503
-19.28571429,random,Qd_mean,3.931056529,0.3595656236
-19.28571429,norm,Qd_mean,5.17910475,0.3473934055
-19.28571429,ga_ub,Qd_mean,3.226678357,0.3399137703
-16.42857143,proposed,Qd_mean,0.4274544151,0.07775920555
-16.42857143,random,Qd_mean,2.97087269,0.3357915732
-16.42857143,norm,Qd_mean,3.967688151,0.3631967127
-16.42857143,ga_ub,Qd_mean,2.509503676,0.30513324
-13.57142857,proposed,Qd_mean,0.3493635414,0.06674415976
-13.57142857,random,Qd_mean,2.372880862,0.2824143834
-13.57142857,norm,Qd_mean,2.587628227,0.2800516271
-13.57142857,ga_ub,Qd_mean,2.039824625,0.2841599909
-10.71428571,proposed,Qd_mean,0.3032139757,0.05641021
-10.71428571,random,Qd_mean,1.685679232,0.203066404
-10.71428571,norm,Qd_mean,1.974174508,0.2643717065
-10.71428571,ga_ub,Qd_mean,1.461956896,0.2134074572
-7.857142857,proposed,Qd_mean,0.2933306303,0.0578212213
-7.857142857,random,Qd_mean,1.567200955,0.2174453461
-7.857142857,norm,Qd_mean,1.49369622,0.2052536363
-7.857142857,ga_ub,Qd_mean,1.288788415,0.2099494715
-5,proposed,Qd_mean,0.3158938969,0.06732067395
-5,random,Qd_mean,1.283260292,0.2029260907
-5,norm,Qd_mean,1.277607055,0.1853769355
-5,ga_ub,Qd_mean,1.162601315,0.1946610422
-25,proposed,Qs_mean,0.9917709098,0.03829181409
-25,random,Qs_mean,1.190831518,0.03987526892
-25,norm,Qs_mean,1.260111211,0.033567933
-25,ga_ub,Qs_mean,0.9081253817,0.02990948776
-22.14285714,proposed,Qs_mean,0.9345398103,0.0352692456
-22.14285714,random,Qs_mean,1.12061396,0.03906197512
-22.14285714,norm,Qs_mean,1.163730244,0.03308125897
-22.14285714,ga_ub,Qs_mean,0.8387876654,0.03572325568
-19.28571429,proposed,Qs_mean,0.8783317633,0.03170171338
-19.28571429,random,Qs_mean,1.055414097,0.03633100606
-19.28571429,norm,Qs_mean,1.097643199,0.03531419205
-19.28571429,ga_ub,Qs_mean,0.7900699995,0.03747784464
-16.42857143,proposed,Qs_mean,0.8391453454,0.03294690482
-16.42857143,random,Qs_mean,1.011665887,0.03534647432
-16.42857143,norm,Qs_mean,1.059483279,0.03523864295
-16.42857143,ga_ub,Qs_mean,0.788223339,0.03875151766
-13.57142857,proposed,Qs_mean,0.839880187,0.03205363445
-13.57142857,random,Qs_mean,0.9944672432,0.03679817982
-13.57142857,norm,Qs_mean,1.032294267,0.04009821712
-13.57142857,ga_ub,Qs_mean,0.8307809836,0.0422785172
-10.71428571,proposed,Qs_mean,0.7996676332,0.03080485476
-10.71428571,random,Qs_mean,0.9863063293,0.03686825579
-10.71428571,norm,Qs_mean,0.9987957368,0.03788226118
-10.71428571,ga_ub,Qs_mean,0.7767906061,0.04177434542
-7.857142857,proposed,Qs_mean,0.7817055581,0.03072598751
-7.857142857,random,Qs_mean,0.9673622263,0.03698752067
-7.857142857,norm,Qs_mean,0.9863464353,0.0382885084
-7.857142857,ga_ub,Qs_mean,0.7753412368,0.04192618049
-5,proposed,Qs_mean,0.7598677278,0.0320596868
-5,random,Qs_mean,0.9403249443,0.03898636391
-5,norm,Qs_mean,0.9588636265,0.03937179705
-5,ga_ub,Qs_mean,0.7424626989,0.04037673583
-25,proposed,ris_count,7.645,0.08207798596
-25,random,ris_count,7.65,0.0897754877
-25,norm,ris_count,8,0
-25,ga_ub,ris_count,7.03,0.1093225958
-22.14285714,proposed,ris_count,7.59,0.08586266468
-22.14285714,random,ris_count,7.65,0.0897754877
-22.14285714,norm,ris_count,8,0
-22.14285714,ga_ub,ris_count,7.015,0.1044160513
-19.28571429,proposed,ris_count,7.51,0.1011408253
-19.28571429,random,ris_count,7.65,0.0897754877
-19.28571429,norm,ris_count,8,0
-19.28571429,ga_ub,ris_count,7.005,0.1089577845
-16.42857143,proposed,ris_count,7.45,0.1046676482
-16.42857143,random,ris_count,7.65,0.0897754877
-16.42857143,norm,ris_count,8,0
-16.42857143,ga_ub,ris_count,6.905,0.1159114538
-13.57142857,proposed,ris_count,7.37,0.1148343128
-13.57142857,random,ris_count,7.65,0.0897754877
-13.57142857,norm,ris_count,8,0
-13.57142857,ga_ub,ris_count,6.915,0.1092055468
-10.71428571,proposed,ris_count,7.24,0.1327156601
-10.71428571,random,ris_count,7.65,0.0897754877
-10.71428571,norm,ris_count,8,0
-10.71428571,ga_ub,ris_count,6.885,0.1188552356
-7.857142857,proposed,ris_count,7.175,0.1371489855
-7.857142857,random,ris_count,7.65,0.0897754877
-7.857142857,norm,ris_count,8,0
-7.857142857,ga_ub,ris_count,6.87,0.1181486365
-5,proposed,ris_count,7.115,0.1424921551
-5,random,ris_count,7.65,0.0897754877
-5,norm,ris_count,8,0
-5,ga_ub,ris_count,6.85,0.1201254788
