p,alg,metric,mean,ci95
-5,proposed,Qd_mean,0.1576898553,0.05589492763
-5,random,Qd_mean,0.360241185,0.200333637
-5,norm,Qd_mean,0.556176132,0.0005109647291
-5,ga_rt,Qd_mean,0.3428600108,0.03931845222
-25,proposed,Qs_mean,0.9838787803,0.04889612313
-25,random,Qs_mean,0.9641283686,0.06461300805
-25,norm,Qs_mean,0.9367142913,0.09947438652
-25,ga_rt,Qs_mean,0.9331797257,0.04953630302
-22.14285714,proposed,Qs_mean,0.9826610292,0.05231425131
-22.14285714,random,Qs_mean,0.9899275672,0.03685423483
-22.14285714,norm,Qs_mean,0.935423019,0.09405335348
-22.14285714,ga_rt,Qs_mean,0.9363138991,0.08568396664
-19.28571429,proposed,Qs_mean,0.982284506,0.05318641406
-19.28571429,random,Qs_mean,0.9608705136,0.01757397438
-19.28571429,norm,Qs_mean,0.9333822334,0.08746801648
-19.28571429,ga_rt,Qs_mean,0.967192635,0.01446124809
-16.42857143,proposed,Qs_mean,0.9821338708,0.05341356811
-16.42857143,random,Qs_mean,0.9758323832,0.01049318851
-16.42857143,norm,Qs_mean,0.9316361675,0.08256830618
-16.42857143,ga_rt,Qs_mean,0.9448001192,0.02092360591
-13.57142857,proposed,Qs_mean,0.9827669759,0.05494933706
-13.57142857,random,Qs_mean,0.9524495962,0.009712610186
-13.57142857,norm,Qs_mean,0.9304935139,0.07957302433
-13.57142857,ga_rt,Qs_mean,0.9857511467,0.05969362503
-10.71428571,proposed,Qs_mean,1.002223944,0.006393433649
-10.71428571,random,Qs_mean,0.9260562179,0.02037281196
-10.71428571,norm,Qs_mean,0.9298295983,0.07791165187
-10.71428571,ga_rt,Qs_mean,0.9734280941,0.05007471346
-7.857142857,proposed,Qs_mean,0.9998233823,0.0001018523292
-7.857142857,random,Qs_mean,0.9507040505,0.1041457415
-7.857142857,norm,Qs_mean,0.9294500299,0.07703754886
-7.857142857,ga_rt,Qs_mean,0.9437828021,0.002147335064
-5,proposed,Qs_mean,1.00543438,0.007448692688
-5,random,Qs_mean,0.9795379735,0.01927380523
-5,norm,Qs_mean,0.9292137267,0.07661586361
-5,ga_rt,Qs_mean,0.956773502,0.09965910305
-25,proposed,ris_count,3,0
-25,random,ris_count,4,0
-25,norm,ris_count,4,0
-25,ga_rt,ris_count,3.5,0.98
-22.14285714,proposed,ris_count,3,0
-22.14285714,random,ris_count,4,0
-22.14285714,norm,ris_count,4,0
-22.14285714,ga_rt,ris_count,4,0
-19.28571429,proposed,ris_count,3,0
-19.28571429,random,ris_count,4,0
-19.28571429,norm,ris_count,4,0
-19.28571429,ga_rt,ris_count,4,0
-16.42857143,proposed,ris_count,3,0
-16.42857143,random,ris_count,4,0
-16.42857143,norm,ris_count,4,0
-16.42857143,ga_rt,ris_count,4,0
-13.57142857,proposed,ris_count,3,0
-13.57142857,random,ris_count,4,0
-13.57142857,norm,ris_count,4,0
-13.57142857,ga_rt,ris_count,4,0
-10.71428571,proposed,ris_count,1.5,2.94
-10.71428571,random,ris_count,4,0
-10.71428571,norm,ris_count,4,0
-10.71428571,ga_rt,ris_count,4,0
-7.857142857,proposed,ris_count,1.5,2.94
-7.857142857,random,ris_count,4,0
-7.857142857,norm,ris_count,4,0
-7.857142857,ga_rt,ris_count,4,0
-5,proposed,ris_count,1.5,2.94
-5,random,ris_count,4,0
-5,norm,ris_count,4,0
-5,ga_rt,ris_count,3.5,0.98
